asset_id,ward,suggested_name,osm_name,osm_name_ja,distance_m
RA-ATSU-1356,Atsuta-ku,江川線,江川線,江川線,42.7
RA-ATSU-1357,Atsuta-ku,江川線,江川線,江川線,42.7
RA-ATSU-1358,Atsuta-ku,江川線,江川線,江川線,42.6
RA-ATSU-1359,Atsuta-ku,江川線,江川線,江川線,42.0
RA-ATSU-1360,Atsuta-ku,江川線,江川線,江川線,42.0
RA-ATSU-1361,Atsuta-ku,江川線,江川線,江川線,42.4
RA-ATSU-1362,Atsuta-ku,江川線,江川線,江川線,41.6
RA-ATSU-1363,Atsuta-ku,江川線,江川線,江川線,41.5
RA-ATSU-1364,Atsuta-ku,江川線,江川線,江川線,41.3
RA-ATSU-1365,Atsuta-ku,江川線,江川線,江川線,41.2
RA-ATSU-1366,Atsuta-ku,江川線,江川線,江川線,41.2
RA-ATSU-1367,Atsuta-ku,江川線,江川線,江川線,41.2
RA-ATSU-1368,Atsuta-ku,江川線,江川線,江川線,41.2
RA-ATSU-1369,Atsuta-ku,江川線,江川線,江川線,41.7
RA-ATSU-1370,Atsuta-ku,江川線,江川線,江川線,41.3
RA-ATSU-1371,Atsuta-ku,江川線,江川線,江川線,42.4
RA-ATSU-1385,Atsuta-ku,江川線,江川線,江川線,41.2
RA-ATSU-1389,Atsuta-ku,江川線,江川線,江川線,40.7
RA-ATSU-1393,Atsuta-ku,国道1号,国道1号,国道1号,51.5
RA-ATSU-1394,Atsuta-ku,江川線,江川線,江川線,41.2
RA-ATSU-1395,Atsuta-ku,江川線,江川線,江川線,42.6
RA-ATSU-1402,Atsuta-ku,国道1号,国道1号,国道1号,51.1
RA-ATSU-1403,Atsuta-ku,国道1号,国道1号,国道1号,52.0
RA-ATSU-1404,Atsuta-ku,国道1号,国道1号,国道1号,52.1
RA-ATSU-1405,Atsuta-ku,国道1号,国道1号,国道1号,52.3
RA-ATSU-1408,Atsuta-ku,江川線,江川線,江川線,44.4
RA-ATSU-1412,Atsuta-ku,国道1号,国道1号,国道1号,52.0
RA-ATSU-1415,Atsuta-ku,江川線,江川線,江川線,43.0
RA-ATSU-1426,Atsuta-ku,東海通,東海通,東海通,47.3
RA-ATSU-1427,Atsuta-ku,東海通,東海通,東海通,47.0
RA-ATSU-1428,Atsuta-ku,東海通,東海通,東海通,47.0
RA-ATSU-1429,Atsuta-ku,東海通,東海通,東海通,47.5
RA-ATSU-1434,Atsuta-ku,国道154号,国道154号,国道154号,34.1
RA-ATSU-1435,Atsuta-ku,国道154号,国道154号,国道154号,42.4
RA-ATSU-1437,Atsuta-ku,東海通,東海通,東海通,47.5
RA-ATSU-1440,Atsuta-ku,東海通,東海通,東海通,47.3
RA-ATSU-1444,Atsuta-ku,東海通,東海通,東海通,47.0
RA-ATSU-1447,Atsuta-ku,東海通,東海通,東海通,47.8
RA-ATSU-1450,Atsuta-ku,江川線,江川線,江川線,50.5
RA-ATSU-1451,Atsuta-ku,江川線,江川線,江川線,57.1
RA-ATSU-1456,Atsuta-ku,江川線,江川線,江川線,47.5
RA-ATSU-1457,Atsuta-ku,江川線,江川線,江川線,44.4
RA-ATSU-1465,Atsuta-ku,江川線,江川線,江川線,43.9
RA-ATSU-1474,Atsuta-ku,江川線,江川線,江川線,39.2
